Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
12/16/2021 12:00:00 AM,Complete,Special Event,Commercial,,LLS Firefighter Stairclimb,S22MR017,03/13/2022 12:00:00 AM,03/13/2022 12:00:00 AM,,Downtown,7,West,Leukemia & Lymphoma Society,2500
12/16/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Big Climb,S22MR018,03/27/2022 12:00:00 AM,03/27/2022 12:00:00 AM,,Downtown,7,West,Leukemia & Lymphoma Society,2900
12/21/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Hot Chocolate 5K Seattle,S22MR019,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,,Fremont;Green Lake;Greenwood / Phinney Ridge;Queen Anne;Wallingford,4;6;7,North;Traffic;West,Ventures Endurance,13200
01/06/2022 12:00:00 AM,Complete,Special Event,Commercial,,March Night Market,S22MR023,03/18/2022 12:00:00 AM,03/19/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
01/11/2022 12:00:00 AM,Complete,Special Event,Commercial,,The Big Taste,S22MR030,03/26/2022 12:00:00 AM,03/26/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,University Sunrise Rotary Club,440
01/19/2022 12:00:00 AM,Complete,Special Event,Athletic,Water,UW Rowing Class Day Regatta,S22MR042,03/19/2022 12:00:00 AM,03/19/2022 12:00:00 AM,,Montlake / Portage Bay,3;4,East;Harbor;North,University of Washington,350
01/21/2022 12:00:00 AM,Complete,Special Event,Free Speech,,March for Freedom,S22MR047,03/26/2022 12:00:00 AM,03/26/2022 12:00:00 AM,Westlake Park,Downtown,7,Traffic;West,March for Freedom WA,465
02/08/2022 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - Seattle Opera (3.5),S22MR060,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,80
02/08/2022 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - The Extra Ingredient,S22MR062,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,80
02/07/2022 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,UW Cherry Blossom Run,S22MR063,03/26/2022 12:00:00 AM,03/26/2022 12:00:00 AM,Burke Gilman Trail,Laurelhurst / Sand Point;Ravenna / Bryant;University District,4,North,Rainier Running,1200
02/03/2022 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - The Extra Ingredient (3.16),S22MR068,03/16/2022 12:00:00 AM,03/16/2022 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,150
02/17/2022 12:00:00 AM,Complete,Special Event,Free Speech,,Tibetan National Uprising Day,S22MR072,03/10/2022 12:00:00 AM,03/10/2022 12:00:00 AM,,Downtown,7,West,Tibetan Association of Washington,45
02/22/2022 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Seattle Dances Gala,S22MR074,03/12/2022 12:00:00 AM,03/12/2022 12:00:00 AM,,Fremont,6,North,Butler Seattle,400
03/02/2022 12:00:00 AM,Complete,Special Event,Free Speech,,Ukrainian Association of Washington,S22MR078,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,,Capitol Hill,3,East,Ukrainian Association of Washington,
03/14/2022 12:00:00 AM,Issued,Valet Parking,,,Bulter Valet - O'Dea Auction,S22MR104,03/19/2022 12:00:00 AM,03/19/2022 12:00:00 AM,,First Hill,3,East,Bulter Seattle,300
03/14/2022 12:00:00 AM,Complete,Special Event,Free Speech,,Ukrainian Association of Washington (3.19),S22MR105,03/19/2022 12:00:00 AM,03/19/2022 12:00:00 AM,,Downtown;Queen Anne,7,West,Ukrainian Association of Washington,1000
12/02/2021 12:00:00 AM,Complete,Special Event,Community,,Seattle Norwegian 17th of May Parade,S22MY008,05/17/2022 12:00:00 AM,05/17/2022 12:00:00 AM,,Ballard,6,North,Seattle Norwegian 17th of May Committee,5050
12/09/2021 12:00:00 AM,Complete,Special Event,Community,,Madrona Mayfair,S22MY009,05/07/2022 12:00:00 AM,05/07/2022 12:00:00 AM,OTHER,Madrona / Leschi,3,East,Madrona Neighborhood Association,375
12/16/2021 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Opera's Big Opera Party,S22MY016,05/13/2022 12:00:00 AM,05/13/2022 12:00:00 AM,,Queen Anne,7,West,Seattle Opera,450
01/06/2022 12:00:00 AM,Complete,Special Event,Commercial,,May Night Market,S22MY025,05/27/2022 12:00:00 AM,05/28/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
01/19/2022 12:00:00 AM,Complete,Special Event,Athletic,Water,UW Rowing Windermere Cup/Opening Day Regatta,S22MY043,05/07/2022 12:00:00 AM,05/07/2022 12:00:00 AM,,Montlake / Portage Bay,3;4,East;Harbor;North,University of Washington,1550
