OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
23304,12650,68,09485,1040,094851040,ROOSEVELT WAY NE BETWEEN NE 104TH ST AND NE 105TH ST,ROOSEVELT WAY NE,ROOSEVELT WAY NE,NE 104TH ST,NE 105TH ST,1,Principal Arterial, ,INSVC,10400,25,N,N, , ,331,44,AC/PCC,2017/09/24 00:00:00+00,,,ROOSEVELT WAY NE AND NE 104TH ST,N,37471,ROOSEVELT WAY NE AND NE 105TH ST,S,36527,1274936.58770233,260492.4602228,Y,N,Y,Urban Center Connector,,82,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,7,ART,N,331.318951228046
23305,13181,68,10100,0030,101000030,UNION ST BETWEEN 3RD AVE AND 4TH AVE,UNION ST,UNION ST,3RD AVE,4TH AVE,1,Principal Arterial, ,INSVC,300,25,NE,Y,SW,T,322,46,PCC,2017/11/03 00:00:00+00,,,3RD AVE AND UNION ST,NE,29591,4TH AVE AND UNION ST,SW,29590,1269691.41534497,225760.85493924,N,N,N,Downtown,,63,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,4,ART,N,321.929601849741
23307,14083,68,11075,0690,110750690,EAST GREEN LAKE WAY N BETWEEN 4TH AVE NE AND NE RAVENNA SR BV,EAST GREEN LAKE WAY N,EAST GREEN LAKE WAY N,4TH AVE NE,NE RAVENNA SR BV,2,Minor Arterial, ,INSVC,6900,25,NE,N, , ,191,40,AC/PCC,2017/10/03 00:00:00+00,,,4TH AVE NE AND EAST GREEN LAKE WAY N,NE,24585,EAST GREEN LAKE WAY N AND NE RAVENNA SR BV,SW,24610,1272602.52094795,251142.27282122,Y,N,N,Urban Village Neighborhood,,32,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,1,ART,N,191.073396779617
23319,21213,68,16895,0005,168950005,S ROYAL BROUGHAM WAY BETWEEN EAST FRONTAGE RD S AND 1ST AVE S,S ROYAL BROUGHAM WAY,S ROYAL BROUGHAM WAY,EAST FRONTAGE RD S,1ST AVE S,1,Principal Arterial,WSDOT,INSVC,0,25,E,N, , ,320,68,AC/PCC,2017/10/11 00:00:00+00,,,S ROYAL BROUGHAM WAY AND EAST FRONTAGE RD S,E,547741,1ST AVE S AND S ROYAL BROUGHAM WAY,W,30384,1269939.96766521,219702.95054904,N,N,N,Industrial Access,Y,83,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,320.218845705366
23325,487063,68,08299,0770,082990770,M L KING JR ER WAY S BETWEEN S HOLDEN ST AND S CHICAGO ST,M L KING JR WAY S,M L KING JR ER WAY S,S HOLDEN ST,S CHICAGO ST,1,Principal Arterial, ,INSVC,7700,25,S,Y,N,T,309,44,PCC,2017/10/26 00:00:00+00,PCC,2017/11/03 00:00:00+00,M L KING JR ER WAY S AND S HOLDEN ST,S,34488,M L KING JR ER WAY S AND S CHICAGO ST,N,164367,1282910.87814249,197765.79251057,N,N,Y,Urban Center Connector,Y,96,92,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,1,ART,N,309.403728764795
23327,1366,68,00175,0270,001750270,10TH AVE W BETWEEN W NEWELL ST AND W ARMOUR ST,10TH AVE W,10TH AVE W,W NEWELL ST,W ARMOUR ST,3,Collector Arterial, ,INSVC,2700,25,N,N, , ,264,30,AC/PCC,2017/10/04 00:00:00+00,,,10TH AVE W AND W NEWELL ST,N,27879,10TH AVE W AND W ARMOUR ST,S,27878,1261600.62608868,238938.65028073,N,N,N,Neighborhood Corridor,,61,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,263.567561333408
23328,1913,68,00460,0900,004600900,14TH AVE NW BETWEEN NW 90TH ST AND HOLMAN RD NW,14TH AVE NW,14TH AVE NW,NW 90TH ST,HOLMAN RD NW,0,Not Designated, ,INSVC,9000,20,N,N, , ,498,32,AC,2014/05/06 00:00:00+00,,,14TH AVE NW AND NW 90TH ST,N,37250,14TH AVE NW AND HOLMAN RD NW,S,37244,1261002.99472806,257289.18188351,N,N,N,Urban Village Neighborhood Access,,76,0,5,TEMPORARY TRANSIT ROUTE,DISTRICT6, ,N,1,NON-ART,N,498.358723313208
23336,7310,68,03895,0760,038950760,5TH AVE NE BETWEEN NE 76TH ST AND BANNER WAY NE,5TH AVE NE,5TH AVE NE,NE 76TH ST,BANNER WAY NE,2,Minor Arterial, ,INSVC,7600,25,N,N, , ,560,54,PCC,2017/10/26 00:00:00+00,PCC,2013/07/25 00:00:00+00,5TH AVE NE AND NE 76TH ST,N,24419,5TH AVE NE AND BANNER WAY NE,S,24404,1273530.9391889,253164.28895129,Y,N,N,Neighborhood Corridor,,45,60,3,MINOR TRANSIT ROUTE,DISTRICT4,DISTRICT6,N,8,ART,N,559.881051183649
23339,9186,68,05390,1114,053901114,BEACON AVE S BETWEEN 53RD AVE S AND S AUGUSTA ST,BEACON AVE S,BEACON AVE S,53RD AVE S,S AUGUSTA ST,3,Collector Arterial, ,INSVC,11100,25,SE,N, , ,674,23,AC,2017/10/24 00:00:00+00,,,53RD AVE S AND BEACON AVE S,SE,38389,BEACON AVE S AND S AUGUSTA ST,NW,38396,1286127.78860979,185690.3912822,N,N,N,Neighborhood Corridor,,69,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,674.360810617055
23341,10087,68,06390,0170,063900170,DEXTER AVE N BETWEEN HAYES ST AND HOWE ST,DEXTER AVE N,DEXTER AVE N,HAYES ST,HOWE ST,2,Minor Arterial, ,INSVC,1700,25,N,N, , ,744,54,AC/PCC,2017/10/04 00:00:00+00,,,DEXTER AVE N AND HAYES ST,N,28027,DEXTER AVE N AND HOWE ST,S,28023,1268408.60043165,235269.44336498,Y,N,N,Neighborhood Corridor,,76,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,743.77879914286
