OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
5020,1004,68,00010,0100,000100100,1ST AVE BETWEEN MADISON ST AND SPRING ST,1ST AVE,1ST AVE,MADISON ST,SPRING ST,2,Minor Arterial, ,INSVC,1000,25,NW,N, , ,306,52,AC/PCC,2017/10/10 00:00:00+00,,,1ST AVE AND MADISON ST,NW,29621,1ST AVE AND SPRING ST,SE,29615,1269605.46795288,224326.17666577,N,N,N,Downtown Neighborhood,,50,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,305.931661099985
5021,1011,68,00010,0190,000100190,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,1ST AVE,1ST AVE,STEWART ST,VIRGINIA ST,2,Minor Arterial, ,INSVC,1900,25,NW,N, , ,428,52,AC/PCC,2017/10/28 00:00:00+00,,,1ST AVE AND STEWART ST,NW,29584,1ST AVE AND VIRGINIA ST,SE,29582,1268314.45527954,226406.1744279,N,N,N,Downtown Neighborhood,,57,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,427.959601852324
5022,1016,68,00010,0240,000100240,1ST AVE BETWEEN BATTERY ST AND WALL ST,1ST AVE,1ST AVE,BATTERY ST,WALL ST,2,Minor Arterial, ,INSVC,2400,25,NW,N, , ,306,52,AC/PCC,2017/10/10 00:00:00+00,,,1ST AVE AND BATTERY ST,NW,29700,1ST AVE AND WALL ST,SE,29691,1266783.30487798,227799.40866932,Y,N,N,Downtown Neighborhood,,48,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,3,ART,N,305.688399597145
5023,1027,68,00015,0030,000150030,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,1ST AVE N,1ST AVE N,THOMAS ST,HARRISON ST,1,Principal Arterial, ,INSVC,300,25,N,Y,N,F,426,42,AC/PCC,2017/10/27 00:00:00+00,,,1ST AVE N AND THOMAS ST,N,28930,1ST AVE N AND HARRISON ST,S,28924,1265071.49649224,230423.34505601,Y,N,N,Urban Village Main,,65,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,1,ART,N,425.865035451899
5024,1030,68,00015,0060,000150060,1ST AVE N BETWEEN MERCER ST AND ROY ST,1ST AVE N,1ST AVE N,MERCER ST,ROY ST,1,Principal Arterial, ,INSVC,600,25,N,Y,N,F,319,32,AC/PCC,2017/10/27 00:00:00+00,,,1ST AVE N AND MERCER ST,N,28919,1ST AVE N AND ROY ST,S,28882,1265103.76215626,231698.10844931,Y,N,N,Urban Village Main,,61,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,2,ART,N,318.822528330658
5032,1085,68,00020,0750,000200750,1ST AVE NE BETWEEN WOODLAWN N AVE NE AND NE 77TH ST,1ST AVE NE,1ST AVE NE,WOODLAWN N AVE NE,NE 77TH ST,3,Collector Arterial, ,INSVC,7500,25,N,N, , ,658,36,PCC,2017/10/03 00:00:00+00,,,1ST AVE NE AND WOODLAWN N AVE NE,N,24568,1ST AVE NE AND NE 77TH ST,S,24543,1272203.58097954,253130.86328726,N,N,N,Neighborhood Corridor,,78,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,5,ART,N,658.220974164691
5033,1088,68,00020,0850,000200850,1ST AVE NE BETWEEN NE 85TH ST AND NE 90TH ST,1ST AVE NE,1ST AVE NE,NE 85TH ST,NE 90TH ST,0,Not Designated, ,INSVC,8500,20,N,N, , ,1330,0,ST,,,,1ST AVE NE AND NE 85TH ST,N,37608,1ST AVE NE AND NE 90TH ST,S,37582,1272238.83038756,256092.36185029,Y,N,N,Neighborhood Yield Street,,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,1,NON-ART,N,1329.80781753356
5034,1090,68,00020,0910,000200910,1ST AVE NE BETWEEN NE 91ST ST AND NE 92ND ST,1ST AVE NE,1ST AVE NE,NE 91ST ST,NE 92ND ST,0,Not Designated, ,INSVC,9100,20,N,N, , ,333,25,PCC,2013/06/21 00:00:00+00,,,1ST AVE NE AND NE 91ST ST,N,37581,1ST AVE NE AND NE 92ND ST,S,37578,1272252.74949159,257255.95781949,Y,N,N,Neighborhood Yield Street,,69,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,0,NON-ART,N,332.522986374266
5035,1102,68,00020,1200,000201200,1ST AVE NE BETWEEN NE 120TH ST AND N 122ND ST,1ST AVE NE,1ST AVE NE,NE 120TH ST,N 122ND ST,3,Collector Arterial, ,INSVC,12000,25,N,N, , ,435,30,ST,2017/09/23 00:00:00+00,,,1ST AVE NE AND NE 120TH ST,N,36551,1ST AVE NE AND N 122ND ST,S,36547,1272303.33816363,264930.19283535,N,N,N,Neighborhood Corridor,,34,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,3,ART,N,435.208007733144
5036,1109,68,00020,1350,000201350,1ST AVE NE BETWEEN NE 135TH ST AND NE 137TH ST,1ST AVE NE,1ST AVE NE,NE 135TH ST,NE 137TH ST,3,Collector Arterial, ,INSVC,13500,25,N,N, , ,509,22,AC,2017/09/23 00:00:00+00,,,1ST AVE NE AND NE 135TH ST,N,35948,1ST AVE NE AND NE 137TH ST,S,35937,1272371.28024371,268946.10336746,N,N,N,Neighborhood Corridor,,21,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,0,ART,N,508.667975710644
5037,1112,68,00020,1400,000201400,1ST AVE NE BETWEEN NE 140TH ST AND N 143RD ST,1ST AVE NE,1ST AVE NE,NE 140TH ST,N 143RD ST,3,Collector Arterial, ,INSVC,14000,25,N,N, , ,665,23,AC,2017/09/23 00:00:00+00,,,1ST AVE NE AND NE 140TH ST,N,35922,1ST AVE NE AND N 143RD ST,S,35915,1272397.23166773,270353.6613849,N,N,N,Neighborhood Corridor,,19,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,3,ART,N,664.652102413442
5046,1186,68,00030,0020,000300020,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1ST AVE S,1ST AVE S,S WASHINGTON ST,S MAIN ST,2,Minor Arterial, ,INSVC,200,25,S,N, , ,306,44,AC/PCC,2017/10/11 00:00:00+00,,,1ST AVE S AND S WASHINGTON ST,S,30362,1ST AVE S AND S MAIN ST,N,30364,1270160.20465744,222641.50325604,N,N,N,Downtown Neighborhood,,44,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,0,ART,N,306.023176393677
5049,1204,68,00030,0170,000300170,1ST AVE S BETWEEN S MASSACHUSETTS ST AND S HOLGATE ST,1ST AVE S,1ST AVE S,S MASSACHUSETTS ST,S HOLGATE ST,1,Principal Arterial, ,INSVC,1700,30,S,N, , ,775,68,AC/PCC,2017/10/11 00:00:00+00,,,1ST AVE S AND S MASSACHUSETTS ST,S,31344,1ST AVE S AND S HOLGATE ST,N,31345,1270062.15736134,217792.01960307,N,N,Y,Industrial Access,Y,65,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,775.060113146641
5050,1210,68,00030,0320,000300320,1ST AVE S BETWEEN S HANFORD ST AND S HORTON ST,1ST AVE S,1ST AVE S,S HANFORD ST,S HORTON ST,1,Principal Arterial, ,INSVC,3200,30,S,N, , ,434,68,AC,2017/10/28 00:00:00+00,,,1ST AVE S AND S HANFORD ST,S,31379,1ST AVE S AND S HORTON ST,N,32333,1269973.97009724,213348.01294252,N,N,Y,Industrial Access,Y,62,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,434.068611728664
5051,1217,68,00030,0500,000300500,1ST AVE S BETWEEN S HUDSON ST AND S DAWSON ST,1ST AVE S,1ST AVE S,S HUDSON ST,S DAWSON ST,1,Principal Arterial, ,INSVC,5000,30,S,N, , ,638,65,AC/PCC,2017/10/12 00:00:00+00,,,1ST AVE S AND S HUDSON ST,S,33021,1ST AVE S AND S DAWSON ST,N,33026,1269840.11896111,206622.04762363,N,N,Y,Industrial Access,Y,76,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,638.114547380658
5054,1235,68,00030,0860,000300860,1ST AVE S BETWEEN S CLOVERDALE W ST AND 1ST AVS OFF S RP,1ST AVE S,1ST AVE S,S CLOVERDALE W ST,1ST AVS OFF S RP,1,Principal Arterial,WSDOT,INSVC,8600,35,S,N, , ,637,83,AC,2017/10/22 00:00:00+00,,,1ST AVE S AND S CLOVERDALE W ST,S,35174,1ST AVE S AND 1ST AVS OFF S RP,N,35176,1269482.72836874,195267.08690801,N,N,Y,Industrial Access,,45,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,9,ART,N,636.541938671529
5057,1265,68,00040,1130,000401130,1ST PL NE BETWEEN 1ST AVE NE AND NE 117TH ST,1ST PL NE,1ST PL NE,1ST AVE NE,NE 117TH ST,3,Collector Arterial, ,INSVC,11300,25,N,N, , ,1077,54,AC,2017/09/23 00:00:00+00,AC,2017/11/01 00:00:00+00,1ST AVE NE AND 1ST PL NE,N,36581,1ST PL NE AND NE 117TH ST,S,38444,1272469.67326781,263243.22060962,N,N,N,Urban Village Neighborhood,,79,85,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,5,ART,N,1076.73772831348
5058,1268,68,00052,0660,000520660,1ST AV S BR NB BETWEEN 1ST AV S NB OFF RP AND POINT B,1ST AV S BR NB,1ST AV S BR NB,1ST AV S NB OFF RP,POINT B,1,Principal Arterial,WSDOT,INSVC,0,40,S,Y,N,T,40,0,,,,,1ST AV S BR NB AND 1ST AV S NB OFF RP,S,34079,1ST AV S BR NB AND POINT B,N,34089,1269795.59812906,201737.81478663,N,N,N,,Y,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,0,ART,N,40.0023710945303
5059,1280,68,00082,0680,000820680,1ST AV S BR SB BETWEEN POINT A AND SR509 SB,1ST AV S BR SB,1ST AV S BR SB,POINT A,SR509 SB,1,Principal Arterial,WSDOT,INSVC,0,40,S,Y,S,F,1287,0,,,,,1ST AV S BR SB AND POINT A,S,34092,1ST AV S BR SB AND SR509 SB,N,34118,1269505.33713678,200462.42028932,N,N,N,,Y,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT1, ,N,1,ART,N,1287.23760238677
5061,1295,68,00150,0160,001500160,10TH AVE E BETWEEN E GARFIELD ST AND E BLAINE ST,10TH AVE E,10TH AVE E,E GARFIELD ST,E BLAINE ST,2,Minor Arterial, ,INSVC,1600,25,N,N, , ,727,42,AC/PCC,2017/10/07 00:00:00+00,,,10TH AVE E AND E GARFIELD ST,N,28279,10TH AVE E AND E BLAINE ST,S,28271,1273874.62629324,234814.51082051,N,N,N,Urban Center Connector,,12,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,3,ART,N,727.343066650823
5066,1331,68,00165,0790,001650790,10TH AVE S BETWEEN S KENYON ST AND S ELMGROVE ST,10TH AVE S,10TH AVE S,S KENYON ST,S ELMGROVE ST,0,Not Designated, ,INSVC,7900,20,S,N, , ,503,25,PCC,2013/08/29 00:00:00+00,,,10TH AVE S AND S KENYON ST,S,34209,10TH AVE S AND S ELMGROVE ST,N,35073,1273129.95678848,197303.28153409,N,N,N,Minor Industrial Access,,81,0,4,LOCAL TRANSIT ROUTE,DISTRICT1, ,N,0,NON-ART,N,503.248868853666
5070,1358,68,00175,0190,001750190,10TH AVE W BETWEEN W HOWE ST AND W CROCKETT ST,10TH AVE W,10TH AVE W,W HOWE ST,W CROCKETT ST,3,Collector Arterial, ,INSVC,1900,25,N,N, , ,658,42,AC/PCC,2017/10/04 00:00:00+00,,,10TH AVE W AND W HOWE ST,N,27949,10TH AVE W AND W CROCKETT ST,S,27938,1261506.19447258,236089.93296582,N,N,N,Neighborhood Corridor,,61,0,3,MINOR TRANSIT ROUTE,DISTRICT7, ,N,5,ART,N,658.437967791718
5077,1412,68,00230,0520,002300520,11TH AVE NE BETWEEN NE 52ND ST AND NE 55TH ST,11TH AVE NE,11TH AVE NE,NE 52ND ST,NE 55TH ST,1,Principal Arterial, ,INSVC,5200,25,N,Y,N,F,777,40,AC/PCC,2018/05/01 00:00:00+00,,,11TH AVE NE AND NE 52ND ST,N,25781,11TH AVE NE AND NE 55TH ST,S,25763,1275042.45778245,247005.93336099,Y,N,Y,Urban Village Main,,61,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,0,ART,N,776.735971181358
5078,1415,68,00230,0570,002300570,11TH AVE NE BETWEEN NE RAVENNA EB BV AND NE RAVENNA WB BV,11TH AVE NE,11TH AVE NE,NE RAVENNA EB BV,NE RAVENNA WB BV,1,Principal Arterial, ,INSVC,5700,25,NE,Y,N,T,109,40,AC/PCC,2018/05/01 00:00:00+00,,,11TH AVE NE AND NE RAVENNA EB BV,NE,25728,11TH AVE NE AND NE RAVENNA WB BV,SW,25757,1275174.84184657,248569.48926659,Y,N,Y,Urban Center Connector,,61,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,0,ART,N,91.2160768780026
5091,1526,68,00320,0030,003200030,12TH AVE BETWEEN E ALDER ST AND E TERRACE ST,12TH AVE,12TH AVE,E ALDER ST,E TERRACE ST,2,Minor Arterial, ,INSVC,300,25,N,N, , ,305,52,AC/PCC,2017/10/07 00:00:00+00,,,12TH AVE AND E ALDER ST,N,29826,12TH AVE AND E TERRACE ST,S,29821,1274483.10066187,224131.82076156,N,N,N,Urban Village Neighborhood,,59,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,4,ART,N,304.956109891573
5099,1575,68,00330,0590,003300590,12TH AVE NE BETWEEN NE RAVENNA WB BV AND NE 61ST ST,12TH AVE NE,12TH AVE NE,NE RAVENNA WB BV,NE 61ST ST,1,Principal Arterial, ,INSVC,5900,25,N,Y,N,F,201,38,AC/PCC,2018/05/01 00:00:00+00,,,11TH AVE NE AND NE RAVENNA WB BV,N,25757,12TH AVE NE AND NE 61ST ST,S,25725,1275238.12555864,248700.59454672,Y,N,Y,Urban Village Main,,54,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,0,ART,N,201.124013294123
5100,1581,68,00330,0660,003300660,12TH AVE NE BETWEEN NE 66TH ST AND NE 67TH ST,12TH AVE NE,12TH AVE NE,NE 66TH ST,NE 67TH ST,1,Principal Arterial, ,INSVC,6600,25,N,Y,N,F,264,40,AC/PCC,2018/05/01 00:00:00+00,,,12TH AVE NE AND NE 66TH ST,N,24500,12TH AVE NE AND NE 67TH ST,S,24487,1275262.81451866,250444.87979651,Y,N,Y,Urban Village Main,,54,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,264.000081963467
5101,1583,68,00330,0680,003300680,12TH AVE NE BETWEEN NE 68TH ST AND NE 69TH ST,12TH AVE NE,12TH AVE NE,NE 68TH ST,NE 69TH ST,1,Principal Arterial, ,INSVC,6800,25,N,Y,N,F,264,40,AC/PCC,2018/05/01 00:00:00+00,,,12TH AVE NE AND NE 68TH ST,N,24484,12TH AVE NE AND NE 69TH ST,S,24474,1275267.84376667,250972.71531706,Y,N,Y,Urban Village Main,,54,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,4,ART,N,263.904480084344
5114,1653,68,00340,0030,003400030,12TH AVE S BETWEEN S MAIN ST AND S JACKSON ST,12TH AVE S,12TH AVE S,S MAIN ST,S JACKSON ST,1,Principal Arterial, ,INSVC,300,25,S,N, , ,301,52,AC/PCC,2017/10/07 00:00:00+00,,,12TH AVE S AND S MAIN ST,S,30423,12TH AVE S AND S JACKSON ST,N,30427,1274336.85778172,222246.04955964,N,N,N,Downtown,,50,0,3,MINOR TRANSIT ROUTE,DISTRICT3,DISTRICT2,N,3,ART,N,301.116887388244
5157,1920,68,00465,0010,004650010,14TH AVE S BETWEEN E YESLER WAY AND S WASHINGTON ST,14TH AVE S,14TH AVE S,E YESLER WAY,S WASHINGTON ST,3,Collector Arterial, ,INSVC,100,25,S,N, , ,306,48,AC/PCC,2017/10/10 00:00:00+00,,,14TH AVE AND E YESLER WAY,S,30408,14TH AVE S AND S WASHINGTON ST,N,30419,1275108.25912651,222839.39714424,N,N,N,Urban Village Neighborhood,,92,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,2,ART,N,306.394036323444
5158,1930,68,00465,0210,004650210,14TH AVE S BETWEEN S HILL ST AND S WALKER ST,14TH AVE S,14TH AVE S,S HILL ST,S WALKER ST,3,Collector Arterial, ,INSVC,2100,25,S,N, , ,310,42,AC/PCC,2017/10/12 00:00:00+00,,,14TH AVE S AND S HILL ST,S,31255,14TH AVE S AND S WALKER ST,N,31264,1274854.33080626,216589.04104184,Y,N,N,Urban Village Neighborhood,,27,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,3,ART,N,309.959567810129
5168,2003,68,00550,0029,005500029,15TH AVE E BETWEEN E JOHN ST AND E THOMAS S ST,15TH AVE E,15TH AVE E,E JOHN ST,E THOMAS S ST,2,Minor Arterial, ,INSVC,200,25,N,N, , ,195,40,AC/PCC,2017/10/07 00:00:00+00,,,15TH AVE E AND E JOHN ST,N,29059,15TH AVE E AND E THOMAS S ST,S,29034,1275594.18911101,229749.60028732,N,N,N,Urban Village Neighborhood,,29,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,195.496804969071
5169,2006,68,00550,0039,005500039,15TH AVE E BETWEEN E HARRISON S ST AND E HARRISON N ST,15TH AVE E,15TH AVE E,E HARRISON S ST,E HARRISON N ST,2,Minor Arterial, ,INSVC,400,25,N,N, , ,52,40,AC/PCC,2017/10/07 00:00:00+00,,,15TH AVE E AND E HARRISON S ST,N,29032,15TH AVE E AND E HARRISON N ST,S,29033,1275624.54648703,230399.21372798,N,N,N,Urban Village Neighborhood,,18,0,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,0,ART,N,51.7549564351167
5170,2017,68,00550,0110,005500110,15TH AVE E BETWEEN E PROSPECT N ST AND E HIGHLAND DR,15TH AVE E,15TH AVE E,E PROSPECT N ST,E HIGHLAND DR,2,Minor Arterial, ,INSVC,1100,25,N,N, , ,710,60,AC/PCC,2017/10/07 00:00:00+00,PCC,2017/11/02 00:00:00+00,15TH AVE E AND E PROSPECT N ST,N,28957,15TH AVE E AND E HIGHLAND DR,S,28948,1275705.66943112,233189.44195484,N,N,N,Urban Center Connector,,37,72,3,MINOR TRANSIT ROUTE,DISTRICT3, ,N,2,ART,N,710.035265411163
5172,2031,68,00555,0403,005550403,15TH AVE NE BETWEEN NE CAMPUS WB PY AND NE 41ST ST,15TH AVE NE,15TH AVE NE,NE CAMPUS WB PY,NE 41ST ST,1,Principal Arterial, ,INSVC,4000,25,N,N, , ,224,62,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE CAMPUS WB PY,N,27145,15TH AVE NE AND NE 41ST ST,S,27106,1275995.75429542,242977.05271687,N,N,Y,Urban Village Main,,99,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT4, ,N,6,ART,N,223.981897034622
5173,2042,68,00555,0566,005550566,15TH AVE NE BETWEEN NE RAVENNA WB S BV AND NE RAVENNA WB N BV,15TH AVE NE,15TH AVE NE,NE RAVENNA WB S BV,NE RAVENNA WB N BV,2,Minor Arterial, ,INSVC,5600,25,N,N, , ,105,40,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE RAVENNA WB S BV,N,26024,15TH AVE NE AND NE RAVENNA WB N BV,S,26023,1276151.98584758,248282.1239543,Y,N,N,Neighborhood Corridor,,68,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,6,ART,N,104.685386411907
5174,2048,68,00555,0650,005550650,15TH AVE NE BETWEEN NE 65TH ST AND NE 66TH ST,15TH AVE NE,15TH AVE NE,NE 65TH ST,NE 66TH ST,2,Minor Arterial, ,INSVC,6500,25,N,N, , ,264,42,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 65TH ST,N,24506,15TH AVE NE AND NE 66TH ST,S,24507,1276177.96869561,250136.19448419,N,N,N,Urban Village Neighborhood,,61,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,5,ART,N,263.996187812051
5175,2051,68,00555,0680,005550680,15TH AVE NE BETWEEN NE 68TH N ST AND NE 69TH ST,15TH AVE NE,15TH AVE NE,NE 68TH N ST,NE 69TH ST,2,Minor Arterial, ,INSVC,6800,25,N,N, , ,236,42,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 68TH N ST,N,24485,15TH AVE NE AND NE 69TH ST,S,24470,1276182.3140396,250945.68491702,N,N,N,Urban Village Neighborhood,,61,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,3,ART,N,236.200981783746
5176,2061,68,00555,0850,005550850,15TH AVE NE BETWEEN NE 85TH ST AND NE 86TH ST,15TH AVE NE,15TH AVE NE,NE 85TH ST,NE 86TH ST,2,Minor Arterial, ,INSVC,8500,25,N,N, , ,332,36,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 85TH ST,N,37554,15TH AVE NE AND NE 86TH ST,S,37545,1276210.49016763,255480.52268167,N,N,N,Neighborhood Corridor,,70,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,4,ART,N,331.717788877759
5177,2064,68,00555,0890,005550890,15TH AVE NE BETWEEN NE 89TH ST AND NE 90TH ST,15TH AVE NE,15TH AVE NE,NE 89TH ST,NE 90TH ST,2,Minor Arterial, ,INSVC,8900,25,N,N, , ,332,36,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 89TH ST,N,37544,15TH AVE NE AND NE 90TH ST,S,37534,1276243.81151167,256475.15282668,N,N,N,Neighborhood Corridor,,70,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,1,ART,N,331.645951941158
5178,2069,68,00555,0950,005550950,15TH AVE NE BETWEEN NE 95TH ST AND NE 96TH ST,15TH AVE NE,15TH AVE NE,NE 95TH ST,NE 96TH ST,2,Minor Arterial, ,INSVC,9500,25,N,N, , ,332,20,PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 95TH ST,N,37510,15TH AVE NE AND NE 96TH ST,S,37506,1276291.57407172,258133.03558038,N,N,N,Neighborhood Corridor,,47,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,4,ART,N,331.563158240579
5179,2085,68,00555,1200,005551200,15TH AVE NE BETWEEN NE 120TH ST AND NE 123RD ST,15TH AVE NE,15TH AVE NE,NE 120TH ST,NE 123RD ST,1,Principal Arterial, ,INSVC,12000,25,N,N, , ,661,48,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 120TH ST,N,36449,15TH AVE NE AND NE 123RD ST,S,36438,1276302.28101572,264928.17209934,Y,N,Y,Urban Center Connector,,69,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,0,ART,N,661.065767747851
5180,2094,68,00555,1370,005551370,15TH AVE NE BETWEEN NE 137TH ST AND NE 140TH ST,15TH AVE NE,15TH AVE NE,NE 137TH ST,NE 140TH ST,1,Principal Arterial, ,INSVC,13700,25,N,N, , ,666,43,AC/PCC,2017/10/26 00:00:00+00,,,15TH AVE NE AND NE 137TH ST,N,35860,15TH AVE NE AND NE 140TH ST,S,35859,1276366.4793518,269556.94445609,N,N,Y,Urban Center Connector,,56,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,2,ART,N,666.059703510548
5181,2097,68,00560,0500,005600500,15TH AVE NW BETWEEN BALLARD BR AND NW 51ST ST,15TH AVE NW,15TH AVE NW,BALLARD BR,NW 51ST ST,1,Principal Arterial, ,INSVC,5000,30,N,N, , ,239,68,PCC,2017/10/01 00:00:00+00,,,15TH AVE NW AND BALLARD BR,N,25447,15TH AVE NW AND NW 51ST ST,S,25438,1260265.9521673,246519.99851249,N,N,Y,Urban Village Main,Y,44,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,3,ART,N,238.831914401624
5182,2108,68,00560,0610,005600610,15TH AVE NW BETWEEN NW 61ST ST AND NW 62ND ST,15TH AVE NW,15TH AVE NW,NW 61ST ST,NW 62ND ST,1,Principal Arterial, ,INSVC,6100,30,N,N, , ,266,56,PCC,2017/10/01 00:00:00+00,,,15TH AVE NW AND NW 61ST ST,N,25393,15TH AVE NW AND NW 62ND ST,S,25386,1260327.16266337,249465.3097475,N,N,Y,Urban Village Main,Y,44,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,3,ART,N,266.005415720588
5183,2114,68,00560,0700,005600700,15TH AVE NW BETWEEN NW 70TH ST AND NW 73RD ST,15TH AVE NW,15TH AVE NW,NW 70TH ST,NW 73RD ST,1,Principal Arterial, ,INSVC,7000,30,N,N, , ,676,70,PCC,2017/10/01 00:00:00+00,,,15TH AVE NW AND NW 70TH ST,N,23926,15TH AVE NW AND NW 73RD ST,S,23909,1260240.24240728,252021.56760612,N,N,Y,Urban Center Connector,Y,70,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,4,ART,N,675.902946463073
5184,2118,68,00560,0800,005600800,15TH AVE NW BETWEEN NW 80TH ST AND NW 83RD ST,15TH AVE NW,15TH AVE NW,NW 80TH ST,NW 83RD ST,1,Principal Arterial, ,INSVC,8000,30,N,N, , ,673,70,PCC,2017/10/01 00:00:00+00,,,15TH AVE NW AND NW 80TH ST,N,23882,15TH AVE NW AND NW 83RD ST,S,23860,1260287.97571933,254700.75448887,N,N,Y,Urban Village Main,Y,71,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,1,ART,N,673.445772344718
5185,2125,68,00560,0950,005600950,15TH AVE NW BETWEEN NW 95TH ST AND NW 96TH ST,15TH AVE NW,15TH AVE NW,NW 95TH ST,NW 96TH ST,3,Collector Arterial, ,INSVC,9500,25,N,N, , ,399,22,AC,2017/10/01 00:00:00+00,,,15TH AVE NW AND NW 95TH ST,N,37222,15TH AVE NW AND NW 96TH ST,S,37221,1260367.59325542,258579.73791684,N,N,N,Neighborhood Corridor,,14,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,1,ART,N,399.316965356378
5186,2138,68,00565,0200,005650200,15TH AVE S BETWEEN S PLUM ST AND S HILL ST,15TH AVE S,15TH AVE S,S PLUM ST,S HILL ST,2,Minor Arterial, ,INSVC,2000,25,S,N, , ,360,30,PCC,2017/10/12 00:00:00+00,,,15TH AVE S AND S PLUM ST,S,31248,15TH AVE S AND S HILL ST,N,31256,1275184.76959059,216916.36712217,Y,N,N,Urban Village Neighborhood,,55,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,2,ART,N,360.144267880794
